epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1686.4,0.77948,0.64809,1.09716,0.91752,0.88198,0.94782,0.75377,0.76439,0.59386,1.08319,0.000915183,0.000915183,0.000915183
43,1726.92,0.78623,0.64841,1.09855,0.88369,0.85847,0.93155,0.71669,0.81077,0.67749,1.10155,0.000896846,0.000896846,0.000896846
44,1767.73,0.75671,0.60563,1.08098,0.93976,0.90791,0.94957,0.76349,0.76124,0.55536,1.05505,0.000878509,0.000878509,0.000878509
45,1806.87,0.75605,0.61861,1.08233,0.94034,0.88325,0.95129,0.7746,0.7188,0.55617,1.04695,0.000860172,0.000860172,0.000860172
46,1848.21,0.74616,0.61428,1.07684,0.93011,0.86002,0.93545,0.75581,0.74928,0.59499,1.06847,0.000841835,0.000841835,0.000841835
47,1888,0.73619,0.58987,1.0764,0.88059,0.90284,0.93026,0.74439,0.7577,0.60275,1.07442,0.000823498,0.000823498,0.000823498
48,1928.14,0.73733,0.59693,1.07392,0.92687,0.90442,0.96143,0.79078,0.70624,0.54353,1.01244,0.000805161,0.000805161,0.000805161
49,1967.95,0.72071,0.58105,1.06489,0.95288,0.92099,0.96398,0.80303,0.67068,0.49311,1.01576,0.000786824,0.000786824,0.000786824
50,2007.97,0.70936,0.57262,1.0603,0.93632,0.89469,0.95348,0.77834,0.69874,0.52439,1.03623,0.000768487,0.000768487,0.000768487
51,2048.94,0.70773,0.55999,1.05372,0.94423,0.90456,0.9529,0.78889,0.6996,0.52202,1.02683,0.00075015,0.00075015,0.00075015
52,2089.38,0.70963,0.55244,1.05833,0.93166,0.92768,0.96076,0.79116,0.70596,0.50647,1.02731,0.000731813,0.000731813,0.000731813
53,2129.36,0.68943,0.54066,1.0518,0.96117,0.89571,0.95277,0.80484,0.67045,0.50243,1.00276,0.000713476,0.000713476,0.000713476
54,2170.53,0.68899,0.54784,1.0443,0.95261,0.91638,0.95586,0.78841,0.68852,0.50155,1.03031,0.000695139,0.000695139,0.000695139
55,2210.71,0.68366,0.54243,1.03788,0.95755,0.94211,0.96281,0.80772,0.65109,0.47678,0.99592,0.000676802,0.000676802,0.000676802
56,2250.84,0.67243,0.52563,1.03347,0.92592,0.92674,0.96019,0.81163,0.64727,0.48333,0.98098,0.000658465,0.000658465,0.000658465
